
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 29-Oct-2025 at 22:26:08.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6250   1.0018353E+06   1.3730590E+06   1.0020947E+06   8.0468332E+05   1.1706971E+06   8.0604995E+05
    0.6375   1.0018130E+06   1.3730984E+06   1.0020253E+06   8.0470707E+05   1.1705833E+06   8.0613732E+05
    0.6500   1.0017905E+06   1.3731319E+06   1.0019593E+06   8.0472194E+05   1.1704906E+06   8.0621286E+05
    0.6625   1.0017671E+06   1.3731610E+06   1.0018966E+06   8.0472844E+05   1.1704188E+06   8.0627584E+05
    0.6750   1.0017429E+06   1.3731843E+06   1.0018389E+06   8.0472738E+05   1.1703675E+06   8.0632551E+05
    0.6875   1.0017173E+06   1.3732027E+06   1.0017866E+06   8.0471986E+05   1.1703362E+06   8.0636116E+05
    0.7000   1.0016894E+06   1.3732169E+06   1.0017405E+06   8.0470708E+05   1.1703239E+06   8.0638213E+05
    0.7125   1.0016581E+06   1.3732287E+06   1.0017006E+06   8.0469027E+05   1.1703298E+06   8.0638787E+05
    0.7250   1.0016227E+06   1.3732395E+06   1.0016666E+06   8.0467054E+05   1.1703531E+06   8.0637797E+05
    0.7375   1.0015821E+06   1.3732518E+06   1.0016375E+06   8.0464882E+05   1.1703928E+06   8.0635215E+05
    0.7500   1.0015354E+06   1.3732688E+06   1.0016118E+06   8.0462571E+05   1.1704482E+06   8.0631037E+05
    0.7625   1.0014820E+06   1.3732930E+06   1.0015878E+06   8.0460152E+05   1.1705187E+06   8.0625274E+05
    0.7750   1.0014219E+06   1.3733262E+06   1.0015637E+06   8.0457620E+05   1.1706036E+06   8.0617957E+05
    0.7875   1.0013538E+06   1.3733736E+06   1.0015364E+06   8.0454937E+05   1.1707028E+06   8.0609134E+05
    0.8000   1.0012777E+06   1.3734366E+06   1.0015042E+06   8.0452039E+05   1.1708158E+06   8.0598868E+05
    0.8125   1.0011929E+06   1.3735186E+06   1.0014647E+06   8.0448842E+05   1.1709427E+06   8.0587232E+05
    0.8250   1.0010989E+06   1.3736214E+06   1.0014165E+06   8.0445250E+05   1.1710833E+06   8.0574308E+05
    0.8375   1.0009951E+06   1.3737469E+06   1.0013583E+06   8.0441164E+05   1.1712375E+06   8.0560184E+05
    0.8500   1.0008807E+06   1.3738962E+06   1.0012897E+06   8.0436487E+05   1.1714052E+06   8.0544954E+05
    0.8625   1.0007552E+06   1.3740698E+06   1.0012105E+06   8.0431136E+05   1.1715860E+06   8.0528714E+05
    0.8750   1.0006182E+06   1.3742678E+06   1.0011209E+06   8.0425038E+05   1.1717798E+06   8.0511562E+05
    0.8875   1.0004694E+06   1.3744895E+06   1.0010214E+06   8.0418141E+05   1.1719860E+06   8.0493603E+05
    0.9000   1.0003097E+06   1.3747327E+06   1.0009132E+06   8.0410406E+05   1.1722040E+06   8.0474938E+05
    0.9125   1.0001386E+06   1.3749981E+06   1.0007959E+06   8.0401810E+05   1.1724332E+06   8.0455675E+05
    0.9250   9.9995770E+05   1.3752832E+06   1.0006700E+06   8.0392343E+05   1.1726727E+06   8.0435918E+05
    0.9375   9.9976799E+05   1.3755873E+06   1.0005348E+06   8.0382004E+05   1.1729219E+06   8.0415772E+05
    0.9500   9.9957111E+05   1.3759094E+06   1.0003895E+06   8.0370795E+05   1.1731800E+06   8.0395335E+05
    0.9625   9.9936886E+05   1.3762486E+06   1.0002329E+06   8.0358721E+05   1.1734465E+06   8.0374694E+05
    0.9750   9.9916303E+05   1.3766045E+06   1.0000632E+06   8.0345784E+05   1.1737209E+06   8.0353926E+05
    0.9875   9.9895536E+05   1.3769768E+06   9.9987856E+05   8.0331984E+05   1.1740033E+06   8.0333087E+05
    1.0000   9.9874722E+05   1.3773660E+06   9.9967702E+05   8.0317313E+05   1.1742936E+06   8.0312213E+05
    1.0125   9.9853967E+05   1.3777722E+06   9.9945691E+05   8.0301760E+05   1.1745925E+06   8.0291315E+05
    1.0250   9.9833389E+05   1.3781948E+06   9.9921752E+05   8.0285304E+05   1.1749006E+06   8.0270379E+05
    1.0375   9.9812896E+05   1.3786362E+06   9.9895706E+05   8.0267919E+05   1.1752190E+06   8.0249369E+05
    1.0500   9.9792495E+05   1.3790958E+06   9.9867582E+05   8.0249575E+05   1.1755491E+06   8.0228225E+05
    1.0625   9.9772066E+05   1.3795746E+06   9.9837387E+05   8.0230236E+05   1.1758923E+06   8.0206872E+05
    1.0750   9.9751489E+05   1.3800727E+06   9.9805210E+05   8.0209863E+05   1.1762502E+06   8.0185222E+05
    1.0875   9.9730633E+05   1.3805899E+06   9.9771193E+05   8.0188420E+05   1.1766244E+06   8.0163182E+05
    1.1000   9.9709369E+05   1.3811256E+06   9.9735514E+05   8.0165867E+05   1.1770167E+06   8.0140659E+05
    1.1125   9.9687598E+05   1.3816788E+06   9.9698382E+05   8.0142172E+05   1.1774282E+06   8.0117567E+05
    1.1250   9.9665254E+05   1.3822480E+06   9.9660013E+05   8.0117312E+05   1.1778604E+06   8.0093828E+05
    1.1375   9.9642321E+05   1.3828312E+06   9.9620629E+05   8.0091270E+05   1.1783141E+06   8.0069378E+05
    1.1500   9.9618891E+05   1.3834250E+06   9.9580503E+05   8.0064048E+05   1.1787899E+06   8.0044165E+05
    1.1625   9.9594951E+05   1.3840286E+06   9.9539740E+05   8.0035662E+05   1.1792881E+06   8.0018147E+05
    1.1750   9.9570655E+05   1.3846384E+06   9.9498567E+05   8.0006150E+05   1.1798089E+06   7.9991292E+05
    1.1875   9.9546099E+05   1.3852525E+06   9.9457106E+05   7.9975568E+05   1.1803517E+06   7.9963567E+05
    1.2000   9.9521401E+05   1.3858687E+06   9.9415488E+05   7.9943997E+05   1.1809163E+06   7.9934944E+05
    1.2125   9.9496662E+05   1.3864852E+06   9.9373822E+05   7.9911534E+05   1.1815017E+06   7.9905384E+05
    1.2250   9.9471956E+05   1.3871005E+06   9.9332210E+05   7.9878294E+05   1.1821073E+06   7.9874842E+05
    1.2375   9.9447310E+05   1.3877139E+06   9.9290740E+05   7.9844407E+05   1.1827321E+06   7.9843263E+05
    1.2500   9.9422722E+05   1.3883248E+06   9.9249503E+05   7.9810008E+05   1.1833753E+06   7.9810579E+05
    1.2625   9.9398136E+05   1.3889332E+06   9.9208579E+05   7.9775232E+05   1.1840362E+06   7.9776713E+05
    1.2750   9.9373539E+05   1.3895384E+06   9.9168118E+05   7.9740211E+05   1.1847140E+06   7.9741585E+05
    1.2875   9.9348735E+05   1.3901427E+06   9.9128107E+05   7.9705064E+05   1.1854083E+06   7.9705113E+05
    1.3000   9.9323666E+05   1.3907457E+06   9.9088676E+05   7.9669892E+05   1.1861184E+06   7.9667221E+05
    1.3125   9.9298186E+05   1.3913492E+06   9.9049852E+05   7.9634778E+05   1.1868441E+06   7.9627845E+05
    1.3250   9.9272206E+05   1.3919536E+06   9.9011693E+05   7.9599780E+05   1.1875850E+06   7.9586942E+05
    1.3375   9.9245640E+05   1.3925601E+06   9.8974227E+05   7.9564936E+05   1.1883409E+06   7.9544489E+05
    1.3500   9.9218449E+05   1.3931690E+06   9.8937485E+05   7.9530265E+05   1.1891113E+06   7.9500497E+05
    1.3625   9.9190622E+05   1.3937808E+06   9.8901485E+05   7.9495768E+05   1.1898957E+06   7.9455001E+05
    1.3750   9.9162183E+05   1.3943953E+06   9.8866245E+05   7.9461438E+05   1.1906934E+06   7.9408074E+05
    1.3875   9.9133187E+05   1.3950122E+06   9.8831785E+05   7.9427262E+05   1.1915037E+06   7.9359813E+05
    1.4000   9.9103774E+05   1.3956298E+06   9.8798189E+05   7.9393228E+05   1.1923252E+06   7.9310346E+05
    1.4125   9.9073959E+05   1.3962484E+06   9.8765405E+05   7.9359332E+05   1.1931567E+06   7.9259824E+05
    1.4250   9.9043894E+05   1.3968663E+06   9.8733516E+05   7.9325578E+05   1.1939965E+06   7.9208414E+05
    1.4375   9.9013654E+05   1.3974827E+06   9.8702530E+05   7.9291982E+05   1.1948428E+06   7.9156299E+05
    1.4500   9.8983335E+05   1.3980966E+06   9.8672471E+05   7.9258574E+05   1.1956935E+06   7.9103668E+05
    1.4625   9.8953018E+05   1.3987073E+06   9.8643345E+05   7.9225393E+05   1.1965466E+06   7.9050713E+05
    1.4750   9.8922777E+05   1.3993143E+06   9.8615141E+05   7.9192486E+05   1.1973999E+06   7.8997626E+05
    1.4875   9.8892677E+05   1.3999172E+06   9.8587817E+05   7.9159904E+05   1.1982513E+06   7.8944594E+05
    1.5000   9.8862777E+05   1.4005162E+06   9.8561305E+05   7.9127697E+05   1.1990987E+06   7.8891798E+05
    1.5125   9.8833137E+05   1.4011115E+06   9.8535501E+05   7.9095909E+05   1.1999404E+06   7.8839407E+05
    1.5250   9.8803872E+05   1.4017029E+06   9.8510330E+05   7.9064575E+05   1.2007748E+06   7.8787583E+05
    1.5375   9.8774977E+05   1.4022922E+06   9.8485569E+05   7.9033717E+05   1.2016003E+06   7.8736476E+05
